,publisher,author,isbn,date,title,weeks_on_list,no_of_words_title
1431,Flip City Media,C D Reiss,1942833288,2016-11-13,MARRIAGE GAMES,0,2
1432,Scribner,M L Stedman,1451681763,2016-11-06,THE LIGHT BETWEEN OCEANS,0,4
1433,Dial,Annie Barrows,0812997840,2016-11-06,THE TRUTH ACCORDING TO US,0,5
1434,"Little, Brown",Maria Semple,0316403431,2016-11-06,TODAY WILL BE DIFFERENT,0,4
1435,Flatiron,Mark Frost,1250075580,2016-11-06,THE SECRET HISTORY OF TWIN PEAKS,0,6
1436,CP Publishing,Carly Phillips,1942288093,2016-10-30,GOING DOWN FAST,0,3
1437,Kendall Ryan,Kendall Ryan,None,2016-10-30,THE FIX UP,0,3
1438,Gallery,Christina Lauren,1501128000,2016-10-23,BEAUTIFUL,0,1
1439,Knopf,Carl Hiaasen,0385349750,2016-10-23,RAZOR GIRL,0,2
1440,St. Martin's,Jeffrey Archer,1466867507,2016-10-23,COMETH THE HOUR,0,3
1441,St. Martin's Griffin,Diane Chamberlain,1250010721,2016-10-16,THE SILENT SISTER,0,3
1442,Avon,Tessa Dare,0062349058,2016-10-16,DO YOU WANT TO START A SCANDAL,0,7
1443,Avon,Jill Shalvis,0062448056,2016-10-16,THE TROUBLE WITH MISTLETOE,0,4
1444,HTJB,Marie Force,1942295839,2016-10-16,SEX MACHINE,0,2
1445,Morrow/HarperCollins,Karin Slaughter,0062430238,2016-10-16,THE KEPT WOMAN,0,3
1446,Putnam,Clive Cussler and Robin Burcell,0399183973,2016-10-09,PIRATE,0,1
1447,EverAfter Romance,Penelope Ward and Vi Keeland,1942215495,2016-10-09,PLAYBOY PILOT,0,2
1448,Doubleday,John Grisham,0553393480,2016-10-09,ROGUE LAWYER,0,2
1449,Delacorte,Danielle Steel,0425285375,2016-10-02,RUSHING WATERS,0,2
1450,Grand Central,Sandra Brown,1455581232,2016-10-02,STING,0,1
1451,Penguin,Jojo Moyes,0143130153,2016-10-02,ME BEFORE YOU,0,3
1452,Atria,William Kent Krueger,1476749280,2016-09-25,MANITOU CANYON,0,2
1453,Morrow/HarperCollins,Patricia Cornwell,0062325426,2016-09-25,DEPRAVED HEART,0,2
1454,Pamela Dorman/Viking,Jojo Moyes,0143108867,2016-09-25,AFTER YOU,0,2
1455,Knopf,Nathan Hill,1101946628,2016-09-18,THE NIX,0,2
1456,HarperCollins,Jodi Picoult,0061980242,2016-09-11,THE PACT,0,2
1457,Fine Line,Eva Natiello,None,2016-09-11,THE MEMORY BOX,0,3
1458,Harper,Daniel Silva,0062320246,2016-09-04,THE BLACK WIDOW,0,3
1459,Berkley,Joanna Wylde,None,2016-08-28,REAPER'S FIRE,0,2
1460,Atria,Colleen Hoover,1501110373,2016-08-28,IT ENDS WITH US,0,4
1461,Vi Keeland,Vi Keeland,1942215460,2016-08-21,BOSSMAN,0,1
1462,Blue Bolt,Jasmine Walt,None,2016-08-21,MAGIC AND MAYHEM,0,3
1463,Ballantine,Emily Giffin,0345546938,2016-08-14,FIRST COMES LOVE,0,3
1464,Grand Central,Noah Hawley,1455561800,2016-08-14,BEFORE THE FALL,0,3
1465,Berkley,Jane Green,None,2016-08-07,FALLING,0,1
1466,BookShots,James Patterson with Maxine Paetro,0316360597,2016-08-07,THE TRIAL,0,2
1467,Waterhouse,Helen Hardt,None,2016-08-07,CRAVING,0,1
1468,Emily Bestler/Atria,Brad Thor,1476789371,2016-07-31,FOREIGN AGENT,0,2
1469,Del Rey,Chuck Wendig,1101966947,2016-07-31,LIFE DEBT: AFTERMATH,0,3
1470,"Little, Brown",Elin Hilderbrand,0316375152,2016-07-31,HERE'S TO US,0,3
1471,"Little, Brown",Michael Connelly,0759525781,2016-07-31,THE BLACK ICE,0,3
1472,Morrow,Laura Lippman,0061796786,2016-07-24,WHAT THE DEAD KNOW,0,4
1473,EverAfter Romance,Alessandra Torre,1940941776,2016-07-24,MOONSHOT,0,1
1474,BAAE,Corinne Michaels,1942834187,2016-07-24,SAY YOU'LL STAY,0,3
1475,Avon Impulse,Eloisa James,0062573063,2016-07-17,A GENTLEMAN NEVER TELLS,0,4
1476,"Little, Brown",James Patterson,0316317144,2016-07-17,CROSS KILL,0,2
1477,Dutton,Brad Taylor,None,2016-07-17,GHOSTS OF WAR,0,3
1478,Avon,Jill Shalvis,006244803X,2016-07-17,SWEET LITTLE LIES,0,3
1479,HQN,Raeanne Thayne,0373789831,2016-07-10,RIVERBEND ROAD,0,2
1480,"Little, Brown",James Patterson and Maxine Paetro,031629005X,2016-07-10,15TH AFFAIR,0,2
1481,St. Martin's,Sherrilyn Kenyon,125008282X,2016-07-10,BORN OF LEGEND,0,3
1482,Putnam,Clive Cussler and Boyd Morrison,0399175962,2016-07-03,THE EMPEROR'S REVENGE,0,3
1483,Putnam,Nora Roberts,0515154121,2016-07-03,THE COLLECTOR,0,2
1484,Scribner,Annie Proulx,0743288785,2016-07-03,BARKSKINS,0,1
1485,DLZ Entertainment,Lexi Blake,1937608514,2016-07-03,DOMINANCE NEVER DIES,0,3
1486,Avon,Lisa Kleypas,0062371851,2016-06-26,MARRYING WINTERBORNE,0,2
1487,Morrow/HarperCollins,Stephanie Dray and Laura Kamoie,0062347276,2016-06-26,AMERICA'S FIRST DAUGHTER,0,3
1488,Morrow/HarperCollins,Dorothea Benton Frank,0062390759,2016-06-26,ALL SUMMER LONG,0,3
1489,Crown/Archetype,Terry McMillan,1101902574,2016-06-26,I ALMOST FORGOT ABOUT YOU,0,5
1490,Ballantine,Nancy Thayer,1101967064,2016-06-19,THE ISLAND HOUSE,0,3
1491,Riverhead,Emma Straub,None,2016-06-19,MODERN LOVERS,0,2
1492,Ballantine,Tess Gerritsen,0345449436,2016-06-19,THE SURGEON,0,2
1493,Morrow/HarperCollins,Joe Hill,0062200631,2016-06-12,THE FIREMAN,0,2
1494,HTJB,Marie Force,1942295502,2016-06-12,DESIRE AFTER DARK,0,3
1495,Knopf,Stephanie Danler,110187595X,2016-06-12,SWEETBITTER,0,1
1496,Minotaur,Nevada Barr,1466870931,2016-06-05,BOAR ISLAND,0,2
1497,Morrow,Steve Martini,0062328972,2016-06-05,BLOOD FLAG,0,2
1498,Putnam,Steve Hamilton,0399574336,2016-06-05,THE SECOND LIFE OF NICK MASON,0,6
1499,Random House,Curtis Sittenfeld,0812997611,2016-05-29,ELIGIBLE,0,1
1500,"Little, Brown",James Patterson and Maxine Paetro,1455584983,2016-05-29,14TH DEADLY SIN,0,3
1501,Harper,Louise Erdrich,0062277022,2016-05-29,LAROSE,0,1
1502,Bantam,Janet Evanovich and Lee Goldberg,0345543068,2016-05-22,THE HEIST,0,2
1503,Ace,Charlaine Harris,1101598832,2016-05-22,NIGHT SHIFT,0,2
1504,Simon & Schuster,Mary Higgins Clark,1501130447,2016-05-22,AS TIME GOES BY,0,4
1505,Morrow,Shelley Noble,0062319183,2016-05-15,WHISPER BEACH,0,2
1506,Thomas Nelson,Rachel Hauck,1401686311,2016-05-15,THE WEDDING DRESS,0,3
1507,Mira,Stephanie Laurens,1459294033,2016-05-15,A BUCCANEER AT HEART,0,4
1508,Delacorte,Lee Child,0804178798,2016-05-08,MAKE ME,0,2
1509,Crown,Andy Weir,None,2016-05-08,THE MARTIAN,0,2
1510,Morrow,James Rollins and Grant Blackwood,0062135309,2016-05-08,WAR HAWK,0,2
1511,Putnam,Stuart Woods,None,2016-05-01,FAMILY JEWELS,0,2
1512,Random House,Anna Quindlen,0812996089,2016-05-01,MILLER'S VALLEY,0,2
1513,Doubleday,John Grisham,0385541929,2016-05-01,PARTNERS,0,1
1514,Berkley,Jennifer Ashley,None,2016-04-24,WHITE TIGER,0,2
1515,Bantam,Laurie R King,0804177910,2016-04-24,THE MURDER OF MARY RUSSELL,0,5
1516,Avon,Julia Quinn,0062388150,2016-04-24,BECAUSE OF MISS BRIDGERTON,0,4
1517,Kensington,Fern Michaels,1617734616,2016-04-17,NO SAFE SECRET,0,3
1518,Delacorte,Danielle Steel,0804179662,2016-04-17,PROPERTY OF A NOBLEWOMAN,0,4
1519,Avon Impulse,Linda Howard,006242226X,2016-04-10,HEARTBREAKER,0,1
1520,"Little, Brown",Emma Donoghue,0316098329,2016-04-10,ROOM,0,1
1521,Grand Central,David Baldacci,1455559806,2016-04-10,MEMORY MAN,0,2
1522,Barbara Freethy,Barbara Freethy,0996117113,2016-04-03,IF I DIDN'T KNOW BETTER,0,5
1523,Ace,Patricia Briggs,0698180917,2016-04-03,FIRE TOUCHED,0,2
1524,Europa Editions,Elena Ferrante,1609450787,2016-04-03,MY BRILLIANT FRIEND,0,3
1525,New American Library,Fiona Barton,1101990465,2016-03-27,THE WIDOW,0,2
1526,Dutton,Lisa Gardner,069840422X,2016-03-27,FIND HER,0,2
1527,Gallery,Christina Lauren,1501131222,2016-03-20,BEAUTIFUL BOSS,0,2
1528,Ballantine,Debbie Macomber,0553391925,2016-03-20,A GIRL'S GUIDE TO MOVING ON,0,6
1529,Morrow,Steve Martini,0062328948,2016-03-20,THE ENEMY INSIDE,0,3
1530,"Little, Brown",James Patterson and Marshall Karp,0316288721,2016-03-13,NYPD RED 4,0,3
1531,Berkley,J D Robb,None,2016-03-13,BROTHERHOOD IN DEATH,0,3
1532,DLZ Entertainment,Lexi Blake,1937608492,2016-03-13,FROM SANCTUM WITH LOVE,0,4
1533,Zebra,Lisa Jackson,1420136046,2016-03-13,REVENGE,0,1
1534,Ballatine,Jonathan Kellerman,0345541413,2016-03-06,BREAKDOWN,0,1
1535,Dutton,Harlan Coben,0451414136,2016-03-06,THE STRANGER,0,2
1536,Mira,Ron Carr,1459295498,2016-03-06,BACKWARD GLANCE,0,2
1537,Delacorte,Danielle Steel,None,2016-02-28,BLUE,0,1
1538,Harper Perennial,Liane Moriarty,0062008676,2016-02-28,THE LAST ANNIVERSARY,0,3
1539,Waterhouse,Audrey Carlan,None,2016-02-28,JANUARY,0,1
1540,Jamie McGuire,Jamie McGuire,None,2016-02-21,BEAUTIFUL BURN,0,2
1541,Vi Keeland,Vi Keeland,1942215355,2016-02-21,THE BALLER,0,2
1542,Waterhouse,Audrey Carlan,None,2016-02-21,FEBRUARY,0,1
1543,Delacorte,Melanie Benjamin,0345539753,2016-02-14,THE SWANS OF FIFTH AVENUE,0,5
1544,Zebra,Kat Martin,1420139010,2016-02-14,INTO THE FURY,0,3
1545,InterMix,Nora Roberts,None,2016-02-07,IRISH THOROUGHBRED,0,2
1546,Putnam,Stuart Woods,None,2016-02-07,SCANDALOUS BEHAVIOR,0,2
1547,Waterhouse,Audrey Carlan,None,2016-02-07,APRIL,0,1
1548,St. Martin's Griffin,Michelle Gable,1466849622,2016-01-31,A PARIS APARTMENT,0,3
1549,Broadway,Sarah McCoy,0307460207,2016-01-31,THE BAKER'S DAUGHTER,0,3
1550,Lauren Blakely,Lauren Blakely,None,2016-01-31,BIG ROCK,0,2
1551,St. Martin's,Darynda Jones,1466886153,2016-01-31,THE DIRT ON NINTH GRAVE,0,5
1552,Signet,Catherine Anderson,0451418352,2016-01-24,NEW LEAF,0,2
1553,Doubleday,Chris Bohjalian,0385538901,2016-01-24,THE GUEST ROOM,0,3
1554,ePublishing Works!,Jeanne Glidewell,1614177821,2016-01-24,LEXIE STARR COZY MYSTERIES BOXED SET,0,6
1555,Waterhouse Press,Audrey Carlan,None,2016-01-24,MARCH,0,1
1556,Witness Impulse,James Hayman,0062435159,2016-01-17,THE GIRL IN THE GLASS,0,5
1557,Avon,Sarah MacLean,0062379399,2016-01-17,THE ROGUE NOT TAKEN,0,4
1558,Putnam,Mark Greaney,0698410610,2016-01-17,TOM CLANCY: COMMANDER IN CHIEF,0,5
1559,Riverhead,Lauren Groff,1594634475,2016-01-10,FATES AND FURIES,0,3
1560,Bantam,George R R Martin,0345533488,2016-01-10,A KNIGHT OF THE SEVEN KINGDOMS,0,6
1561,Delacorte,Danielle Steel,0345531035,2015-12-27,PRECIOUS GIFTS,0,2
1562,Mariner,Philip K Dick,0547572484,2015-12-27,THE MAN IN THE HIGH CASTLE,0,6
1563,Gallery,Kresley Cole,1451650043,2015-12-20,SWEET RUIN,0,2
1564,Silhouette,Nora Roberts,146034278X,2015-12-13,NIGHT MOVES,0,2
1565,Putnam,Clive Cussler and Graham Brown,0399174117,2015-12-13,THE PHARAOH'S SECRET,0,3
1566,Atria,Isabel Allende,1501117009,2015-12-13,THE JAPANESE LOVER,0,3
1567,Tor,Terry Goodkind,1466890401,2015-12-06,WARHEART,0,1
1568,Putnam,Robert Crais,None,2015-12-06,THE PROMISE,0,2
1569,Open Road Media,Alice Hoffman,1453206361,2015-12-06,SEVENTH HEAVEN,0,2
1570,Ampersand,Kristen Pro,163350008X,2015-11-29,EASY MELODY,0,2
1571,St. Martin's,Sherrilyn Kenyon,1466840951,2015-11-22,BORN OF BETRAYAL,0,3
1572,Minotaur,Allison Brennan,1466870036,2015-11-22,NO GOOD DEED,0,3
1573,DGS,Denise Grover Swank,1939996341,2015-11-22,THIRTY-FIVE AND A HALF CONSIPIRACIES,0,5
1574,Bantam,Dean Koontz,None,2015-11-15,FINAL HOUR,0,2
1575,Ballantine,Tess Gerritsen,None,2015-11-15,PLAYING WITH FIRE,0,3
1576,Random House,David Mitchell,0812998685,2015-11-15,SLADE HOUSE,0,2
1577,Zebra,Fern Michaels,1420136666,2015-11-15,WISHES FOR CHRISTMAS,0,3
1578,Berkley,Kay Hooper,None,2015-11-08,FEAR THE DARK,0,3
1579,Harper,Michael Crichton,0061938742,2015-11-08,PIRATE LATITUDES,0,2
1580,Doubleday,John Grisham,0345543254,2015-11-08,GRAY MOUNTAIN,0,2
1581,Harper,Adriana Trigiani,0062319213,2015-11-01,ALL THE STARS IN THE HEAVENS,0,6
1582,Berkley,Nora Roberts,None,2015-11-01,DANCE UPON THE AIR,0,4
1583,"Little, Brown",Elin Hilderbrand,0316261122,2015-11-01,WINTER STROLL,0,2
1584,Mira,Sherryl Woods,0778317668,2015-10-25,WILLOW BROOK ROAD,0,3
1585,Berkley,Jill Shalvis,None,2015-10-25,ALL I WANT,0,3
1586,Putnam,Jan Karon,0399167455,2015-10-25,COME RAIN OR COME SHINE,0,5
1587,Vintage,E L James,1101946342,2015-10-25,GREY,0,1
1588,HQN,Susan Mallery,146039092X,2015-10-18,MARRY ME AT CHRISTMAS,0,4
1589,Zebra,Fern Michaels,None,2015-10-18,DOUBLE DOWN,0,2
1590,Putnam,Catherine Coulter and J T Ellison,None,2015-10-11,THE END GAME,0,3
1591,Bantam,Sarah Addison Allen,0553906542,2015-10-11,THE GIRL WHO CHASED THE MOON,0,6
1592,Bantam,Janet Evanovich and Lee Goldberg,0345543181,2015-10-11,THE SCAM,0,2
1593,Forge,William R Forstchen,1466851899,2015-10-04,ONE YEAR AFTER,0,3
1594,Gallery,Christina Lauren,1476777950,2015-10-04,DARK WILD NIGHT,0,3
1595,Kingswell,Richard Castle,None,2015-10-04,DRIVING HEAT,0,2
1596,Delacorte,Lee Child,None,2015-09-27,SMALL WARS,0,2
1597,Susan Stoker,Susan Stoker,None,2015-09-27,PROTECTING MELODY,0,2
1598,Delacorte,Danielle Steel,None,2015-09-27,UNDERCOVER,0,1
1599,Ellora's Cave,Laurann Dohner,None,2015-09-27,NUMBERS,0,1
1600,Kristen Ashley,Kristen Ashley,None,2015-09-20,HOLD ON,0,2
1601,Mira,Ron Carr,0778317498,2015-09-20,WILDEST DREAMS,0,2
1602,Jove,Nalini Singh,None,2015-09-20,ARCHANGEL'S ENIGMA,0,2
1603,Ballantine,Jonathan Kellerman,080417749X,2015-09-13,THE MURDERER'S DAUGHTER,0,3
1604,HQN,Lori Foster,1460384067,2015-09-13,TOUGH LOVE,0,2
1605,Morrow,Christopher Moore,0061779784,2015-09-13,SECONDHAND SOULS,0,2
1606,Avon,Tessa Dare,0062349031,2015-09-13,WHEN A SCOT TIES THE KNOT,0,6
1607,C. Scott Publishing,Penelope Ward and Vi Keeland,1942215215,2015-09-13,COCKY BASTARD,0,2
1608,Jamie McGuire,Jamie McGuire,None,2015-09-06,SOMETHING BEAUTIFUL,0,2
1609,Ballantine,Debbie Macomber,None,2015-09-06,SILVER LININGS,0,2
1610,Simon & Schuster,Jessica Knoll,1476789657,2015-09-06,LUCKIEST GIRL ALIVE,0,3
1611,Broadway,Gillian Flynn,0307459926,2015-08-30,DARK PLACES,0,2
1612,Del Rey,Robin Hobb,None,2015-08-30,FOOL'S QUEST,0,2
1613,St. Martin's,Lisa Scottoline,None,2015-08-30,ACCUSED,0,1
1614,Laree Bailey,H M Ward,1630350745,2015-08-30,THE ARRANGEMENT 20,0,3
1615,Pepper Winters,Pepper Winters,None,2015-08-30,FOURTH DEBT,0,2
1616,"Little, Brown",Elin Hilderbrand,0316334502,2015-08-23,THE RUMOR,0,2
1617,Pitch73,Leylah Attar,None,2015-08-23,THE PAPER SWAN,0,3
1618,Story Ink,Cora Seton and others,None,2015-08-23,12-ALARM COWBOYS,0,2
1619,Harper,Daniel Silva,0062320157,2015-08-23,THE ENGLISH SPY,0,3
1620,Simon & Schuster,Alice Hoffman,1451693613,2015-08-23,THE MARRIAGE OF OPPOSITES,0,4
1621,Evil Eye Concepts,Cherise Sinclair,1940887917,2015-08-16,SERVICING THE TARGET,0,3
1622,Mira,Heather Graham,None,2015-08-16,THE FORGOTTEN,0,2
1623,"Little, Brown",James Patterson and Howard Roughan,0316408735,2015-08-16,TRUTH OR DIE,0,3
1624,Witness Impulse,J A Jance,0062418483,2015-08-09,STAND DOWN,0,2
1625,Putnam,Stuart Woods,None,2015-08-09,NAKED GREED,0,2
1626,"Little, Brown",James Patterson and Michael Ledwidge,0316097438,2015-08-09,ZOO,0,1
1627,Knopf,Judy Blume,1101875054,2015-08-09,IN THE UNLIKELY EVENT,0,4
1628,Amy Einhorn/Putnam,Liane Moriarty,None,2015-08-09,THE HUSBAND'S SECRET,0,3
1629,Mira,Susan Wiggs,None,2015-08-02,SUMMER AT WILLOW LAKE,0,4
1630,St. Martin's,Iris Johansen and Roy Johansen,1250020557,2015-08-02,THE NAKED EYE,0,3
1631,JA / AG Publishing,Jennifer Ashley,1941229654,2015-08-02,BAD WOLF,0,2
1632,Scribner,Stephen King,1501100130,2015-08-02,FINDERS KEEPERS,0,2
1633,Gallery,Katy Evans,1501101579,2015-07-26,MANWHORE +1,0,2
1634,Susan Stoker,Susan Stoker,None,2015-07-26,PROTECTING JESSYKA,0,2
1635,Ace,Anthony Ryan,1101612983,2015-07-26,QUEEN OF FIRE,0,3
1636,Simon & Schuster,Mary Higgins Clark,1476749132,2015-07-19,THE MELODY LINGERS ON,0,4
1637,Delacorte,Danielle Steel,None,2015-07-12,COUNTRY,0,1
1638,Grand Central,Brad Meltzer,None,2015-07-12,THE PRESIDENT'S SHADOW,0,3
1639,Grand Central,Nelson DeMille,145558231X,2015-07-12,RADIANT ANGEL,0,2
1640,St. Martin's,Jane Green,1466847743,2015-07-12,SUMMER SECRETS,0,2
1641,St. Martin's,Jackie Collins,1466848901,2015-07-05,THE SANTANGELOS,0,2
1642,Morrow/HarperCollins,Dorothea Benton Frank,0062132563,2015-07-05,ALL THE SINGLE LADIES,0,4
1643,St. Martin's,Barbara Delinsky,None,2015-06-28,BLUEPRINTS,0,1
1644,Loveswept,Sawyer Bennett,1101886773,2015-06-28,ZACK,0,1
1645,Putnam,Clive Cussler and Boyd Morrison,None,2015-06-28,PIRANHA,0,1
1646,Putnam,John Sandford,None,2015-06-21,GATHERING PREY,0,2
1647,Bantam,Janet Evanovich,0345542932,2015-06-21,TOP SECRET TWENTY-ONE,0,3
1648,Scribner,Jason Matthews,1476793751,2015-06-21,PALACE OF TREASON,0,3
1649,NAL,Samantha Young,None,2015-06-21,MOONLIGHT ON NIGHTINGALE WAY,0,4
1650,7th House,Gennita Low,None,2015-06-14,SUMMER FIRE,0,2
1651,Touchstone,Philippa Gregory,1416563911,2015-06-14,THE WHITE QUEEN,0,3
1652,Morrow/HarperCollins,Neal Stephenson,0062190377,2015-06-14,SEVENEVES,0,1
1653,St. Martin's,Sherrilyn Kenyon,None,2015-05-31,BORN OF DEFIANCE,0,3
1654,Morrow/HarperCollins,Greg Iles,006231114X,2015-05-31,THE BONE TREE,0,3
1655,J. S. Cooper,J S Cooper and Helen Cooper,None,2015-05-31,FALLING FOR MY BOSS,0,4
1656,"Little, Brown",Kate Atkinson,031634155X,2015-05-31,A GOD IN RUINS,0,4
1657,Helena Hunting,Helena Hunting,None,2015-05-24,PUCKED,0,1
1658,St. Martin's,Lisa Scottoline,None,2015-05-24,EVERY FIFTEEN MINUTES,0,3
1659,Ballantine,Jodi Picoult,0345544943,2015-05-24,LEAVING TIME,0,2
1660,Ace,Charlaine Harris,None,2015-05-24,DAY SHIFT,0,2
1661,Knopf,Toni Morrison,0307594173,2015-05-17,GOD HELP THE CHILD,0,4
1662,ERH Press,Jessica Wood,1940285127,2015-05-17,PROMISE OF FOREVER,0,3
1663,Spiegel & Grau,Sara Gruen,0812997891,2015-05-17,AT THE WATER'S EDGE,0,4
1664,"Little, Brown",Donna Tartt,0316055441,2015-05-10,THE GOLDFINCH,0,2
1665,"Little, Brown",James Patterson and Marshall Karp,0316284564,2015-05-10,NYPD RED 3,0,3
1666,HTJB,M S Force,194229509X,2015-05-10,VALOROUS,0,1
1667,Knopf,Anne Tyler,1101874287,2015-05-03,A SPOOL OF BLUE THREAD,0,5
1668,St. Martin's Press,J R Ward,1466867833,2015-05-03,THE STORY OF SON,0,4
1669,HTJB,M S Force,1942295081,2015-05-03,VIRTUOUS,0,1
1670,Ballantine,Tess Gerritsen,0345495306,2015-05-03,THE MEPHISTO CLUB,0,3
1671,Howard,Karen Kingsbury,None,2015-04-26,CHASING SUNSETS,0,2
1672,"Little, Brown",James Patterson and Peter De Jonge,None,2015-04-26,MIRACLE AT AUGUSTA,0,3
1673,Roc,Faith Hunter,None,2015-04-26,DARK HEIR,0,2
1674,Liliana Hart,Liliana Hart,1940499194,2015-04-19,CRAVE,0,1
1675,HQN,Lori Foster,None,2015-04-19,HOLDING STRONG,0,2
1676,Crown,Gillian Flynn,0307588386,2015-04-19,GONE GIRL,0,2
1677,Pocket,Lisa Genova,1439157030,2015-04-19,STILL ALICE,0,2
1678,Forever,Rebecca Zanetti,145557449X,2015-04-19,TOTAL SURRENDER,0,2
1679,Vintage,E L James,1612130615,2015-04-12,FIFTY SHADES FREED,0,3
1680,Witness Impulse,Eric Rickstad,0062351516,2015-04-12,THE SILENT GIRLS,0,3
1681,Knopf Doubleday Publishing Group,Lincoln Child,0307387682,2015-04-12,DEEP STORM,0,2
1682,Vintage,E L James,None,2015-04-05,FIFTY SHADES OF GREY,0,4
1683,Kendall Ryan,Kendall Ryan,None,2015-04-05,RECKLESS LOVE,0,2
1684,Putnam,C J Box,None,2015-04-05,ENDANGERED,0,1
1685,Ballantine,Debbie Macomber,0553391895,2015-04-05,LAST ONE HOME,0,3
1686,Morrow,Dennis Lehane,None,2015-03-29,WORLD GONE BY,0,3
1687,Putnam,Clive Cussler and Justin Scott,None,2015-03-29,THE ASSASSIN,0,2
1688,Delacorte,Danielle Steel,080417962X,2015-03-29,PRODIGAL SON,0,2
1689,Zebra,Fern Michaels,1420133152,2015-03-29,FORGET ME NOT,0,3
1690,Mira,Ron Carr,1460380401,2015-03-22,ONE WISH,0,2
1691,Ampersand,Kristen Pro,1633500047,2015-03-22,EASY LOVE,0,2
1692,Vision,David Baldacci,0759524920,2015-03-22,TOTAL CONTROL,0,2
1693,J. S. Cooper,J S Cooper,1940218381,2015-03-22,FALLING FOR MY BEST FRIEND'S BROTHER,0,6
1694,Forever,S C Stephens,1455588814,2015-03-15,THOUGHTFUL,0,1
1695,Signet,K Bromberg,None,2015-03-15,SLOW BURN,0,2
1696,Ballantine,Jonathan Kellerman,None,2015-03-15,MOTIVE,0,1
1697,"Little, Brown",James Patterson and Maxine Paetro,0316211141,2015-03-15,PRIVATE VEGAS,0,2
1698,Mira,Susan Mallery,146038041X,2015-03-15,THE GIRLS OF MISCHIEF BAY,0,5
1699,Dutton,Lisa Gardner,None,2015-03-08,CRASH AND BURN,0,3
1700,Harper Sloan,Harper Sloan,None,2015-03-08,UNEXPECTED FATE,0,2
1701,Gallery,Kresley Cole,1451650108,2015-03-08,THE MASTER,0,2
1702,Howard Books,Allison Pataki,None,2015-03-08,THE ACCIDENTAL EMPRESS,0,3
1703,Morrow/HarperCollins,James Rollins and Rebecca Cantrell,0062343289,2015-03-01,BLOOD INFERNAL,0,2
1704,NAL,Samantha Young,None,2015-02-22,HERO,0,1
1705,Morrow,Neil Gaiman,0062330268,2015-02-22,TRIGGER WARNING,0,2
1706,J.S. Cooper,JÛäS Cooper and Helen Cooper,1940218330,2015-02-15,ONE NIGHT STAND,0,3
1707,Bantam,Dean Koontz,None,2015-02-15,SAINT ODD,0,2
1708,"Little, Brown",Michael Connelly,0316225924,2015-02-08,THE BURNING ROOM,0,3
1709,Story Ink,Elle James,None,2015-02-08,COWBOY 12 PACK,0,3
1710,Random House,Rachel Joyce,067964511X,2015-02-08,THE UNLIKELY PILGRIMAGE OF HAROLD FRY,0,6
1711,Morrow/HarperCollins,Dorothea Benton Frank,0062132458,2015-02-01,THE LAST ORIGINAL WIFE,0,4
1712,WGW,Whitney Gracia Williams,0990317072,2015-02-01,REASONABLE DOUBT FULL SERIES,0,4
1713,Putnam,Stuart Woods,None,2015-02-01,INSATIABLE APPETITES,0,2
1714,Delacorte,Alan Bradley,0345539958,2015-01-25,AS CHIMNEY SWEEPERS COME TO DUST,0,6
1715,Harper,Bernard Cornwell,0062250744,2015-01-25,THE EMPTY THRONE,0,3
1716,Deborah Bladon,Deborah Bladon,None,2015-01-18,GONE - PART THREE,0,4
1717,Berkley,Sylvia Day,None,2015-01-18,CAPTIVATED BY YOU,0,3
1718,Deborah Bladon,Deborah Bladon,None,2015-01-18,GONE - PART TWO,0,4
1719,Putnam,Jack Higgins,None,2015-01-18,RAIN ON THE DEAD,0,4
1720,Broadway,Gillian Flynn,0307341550,2015-01-11,SHARP OBJECTS,0,2
1721,Dutton,Ken Follett,0525953094,2015-01-04,EDGE OF ETERNITY,0,3
1722,Golden Unicorn Enterprises,J S Scott and others,None,2014-12-21,NAUGHTY & NICE,0,3
1723,Simon & Schuster,Mary Higgins Clark and Alafair Burke,1476763127,2014-12-21,THE CINDERELLA MURDER,0,3
1724,Pocket Star,J A Jance,1501103695,2014-12-14,A LAST GOODBYE,0,3
1725,Grand Central,Douglas Preston and Lincoln Child,1455525901,2014-12-14,BLUE LABYRINTH,0,2
1726,Berkley,Nora Roberts,0698144546,2014-12-14,BLOOD MAGICK,0,2
1727,Latin Goddess Press,Milly Taiden,None,2014-12-14,CURVES 'EM RIGHT,0,3
1728,Carina Press,Jaci Burton,1426899351,2014-12-07,JACI BURTON THE KENT BROTHERS TRILOGY,0,6
1729,Bantam,J Kenner,None,2014-11-23,HAVE ME,0,2
1730,"Little, Brown",James Patterson and Michael Ledwidge,0316211028,2014-11-23,BURN,0,1
1731,Denise Grover Swank,Denise Grover Swank,None,2014-11-23,THIRTY-THREE AND A HALF SHENANIGANS,0,5
1732,Deborah Bladon,Deborah Bladon,None,2014-11-23,RUIN: PART TWO,0,3
1733,Ellora's Cave,Laurann Dohner,None,2014-11-16,SMILEY,0,1
1734,Jove,Nalini Singh,None,2014-11-16,ARCHANGEL'S SHADOWS,0,2
1735,Avon,Ilona Andrews,0062289241,2014-11-16,BURN FOR ME,0,3
1736,Lisa Renee Jones,Lisa Renee Jones,None,2014-11-16,"TALL, DARK AND DEADLY BOOKS 1 - 4",0,8
1737,Pocket Books,Jude Deveraux,None,2014-11-09,CHANGE OF HEART,0,3
